Time,Robot ID,Latitude,Longitude,Altitude,X,Y,Z,W
2.02,robot1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.02,robot2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.02,robot3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.02,robot1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.02,robot2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.02,robot3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.02,robot1,0.7108755805732287,2.14873206420638,0.0,0.0,0.0,0.029101816632109388,1.9997262652355992
6.02,robot2,0.8706584229334919,-0.5061543868859415,0.0,0.0,0.0,0.05797792198784795,1.998617956305173
6.02,robot3,1.1936967937489982,-1.6603166348350857,0.0,0.0,0.0,0.11108029361866019,1.9938538072116252
8.02,robot1,0.758366784963469,2.1655546520929265,0.0,0.0,0.0,0.027263593887694202,1.9997368495896062
8.02,robot2,0.9147799168777455,-0.47889526722841347,0.0,0.0,0.0,-0.035003612080926026,1.9993032806856672
8.02,robot3,1.2272876340256906,-1.6641416381491567,0.0,0.0,0.0,0.11235425783340812,1.9938292065218817
10.02,robot1,0.7948431601144903,2.1545349218602654,0.0,0.0,0.0,0.028093770306107366,1.9997324841893152
10.02,robot2,0.9540787227580627,-0.4844881523789609,0.0,0.0,0.0,0.02950977769841864,1.9996500910676258
10.02,robot3,1.267032959380987,-1.637318360620598,0.0,0.0,0.0,0.11023041380314783,1.9938300013036874
12.02,robot1,0.8289199179525237,2.1338757341050876,0.0,0.0,0.0,0.03053368807676408,1.9997156705854109
12.02,robot2,0.9871356390935189,-0.4622452632260797,0.0,0.0,0.0,-0.07021152966751747,1.997501843973398
12.02,robot3,1.2974263556300323,-1.668914160485568,0.0,0.0,0.0,0.11482777248940391,1.9938225559462612
14.02,robot1,0.858604440518985,2.1531892336246408,0.0,0.0,0.0,0.028526883903430597,1.9997299307252518
14.02,robot2,1.008298960059781,-0.47472435082035314,0.0,0.0,0.0,-0.01583638772219744,1.9998407135941079
14.02,robot3,1.3240453656719495,-1.661316718183754,0.0,0.0,0.0,0.11433842009030051,1.9938243431507936
16.02,robot1,0.8846487429056102,2.174669475608775,0.0,0.0,0.0,0.025622946872511765,1.9997434354666432
16.02,robot2,1.031776047337535,-0.4557292974763536,0.0,0.0,0.0,-0.031076696872880605,1.999517785461487
16.02,robot3,1.342531704444812,-1.659280423505527,0.0,0.0,0.0,0.11473649885145798,1.993822891701336
18.02,robot1,0.907940401981671,2.1846955234804315,0.0,0.0,0.0,0.024457412640466344,1.999746482707915
18.02,robot2,1.0577221447438618,-0.46411427466272837,0.0,0.0,0.0,-0.10144113069713763,1.9947503627747083
18.02,robot3,1.3615713838514347,-1.646904850571869,0.0,0.0,0.0,0.11374086983298418,1.993826194813455
20.03,robot1,0.9360938175236102,2.1808744855873834,0.0,0.0,0.0,0.02511174543303025,1.999742837964141
20.03,robot2,1.0798411756306368,-0.4453718972491221,0.0,0.0,0.0,-0.13301014587348037,1.9913293052497876
20.03,robot3,1.3847172148779805,-1.6257786166342043,0.0,0.0,0.0,0.11213859403137699,1.9938294332024673
22.02,robot1,0.9656986736127346,2.178771241670254,0.0,0.0,0.0,0.02560679288043126,1.9997403879503053
22.02,robot2,1.1067752082558933,-0.4965625387823385,0.0,0.0,0.0,-0.043075624064793316,1.9989851647138526
22.02,robot3,1.4238763876409744,-1.629775224864529,0.0,0.0,0.0,0.11353706414283794,1.993826726941085
24.02,robot1,1.0027903890168117,2.174606326351027,0.0,0.0,0.0,0.026010473025551824,1.9997390828950867
24.02,robot2,1.1417393207641058,-0.4780627438883064,0.0,0.0,0.0,-0.1351701235796652,1.990874960422207
24.02,robot3,1.4609179613195447,-1.6128927350486324,0.0,0.0,0.0,0.1126409709235394,1.993828663254169
